City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,avarua,-21.2078,-159.775,300.18,83,75,12.35,CK,1702244412
1,edinburgh of the seven seas,-37.0676,-12.3116,286.8,69,97,6.48,SH,1702244413
2,ushuaia,-54.8,-68.3,280.96,57,0,8.75,AR,1702244274
3,grytviken,-54.2811,-36.5092,278.77,90,100,6.68,GS,1702244276
4,kimbe,-5.5502,150.1429,297.95,97,100,1.17,PG,1702244415
5,minas de marcona,-15.2119,-75.1103,291.61,65,81,6.13,PE,1702244328
6,bethel,41.3712,-73.414,287.71,90,100,4.12,US,1702244221
7,iqaluit,63.7506,-68.5145,268.0,79,100,6.17,CA,1702244274
8,labytnangi,66.6572,66.4183,244.01,100,99,3.11,RU,1702244298
9,neiafu,-18.65,-173.9833,301.53,74,40,2.57,TO,1702244416
10,puerto natales,-51.7236,-72.4875,285.4,54,40,5.14,CL,1702244417
11,punta arenas,-53.15,-70.9167,282.21,57,40,5.66,CL,1702244417
12,dar chioukh,34.8964,3.4854,284.04,59,11,3.28,DZ,1702244418
13,waitangi,-43.9535,-176.5597,287.49,55,3,2.34,NZ,1702244418
14,hamilton,39.1834,-84.5333,276.16,83,100,5.14,US,1702244419
15,puerto ayora,-0.7393,-90.3518,301.13,78,29,4.03,EC,1702244419
16,hermanus,-34.4187,19.2345,290.1,78,0,4.4,ZA,1702244295
17,pandan,14.0453,124.1694,299.76,83,76,3.83,PH,1702244421
18,isafjordur,66.0755,-23.124,270.54,85,100,3.22,IS,1702244421
19,flying fish cove,-10.4217,105.6791,297.97,83,75,2.57,CX,1702244294
20,pierre,44.3683,-100.351,275.85,69,100,4.12,US,1702244422
21,lebu,-37.6167,-73.65,287.27,83,100,9.37,CL,1702244422
22,pisco,-13.7,-76.2167,297.18,64,0,3.6,PE,1702244423
23,ardakan,32.31,54.0175,285.76,24,100,1.09,IR,1702244424
24,west island,-12.1568,96.8225,299.14,83,40,4.12,CC,1702244274
25,remire-montjoly,4.9167,-52.2667,301.17,78,40,3.09,GF,1702244425
26,kralendijk,12.15,-68.2667,299.14,94,75,6.69,BQ,1702243880
27,adamstown,-25.066,-130.1015,294.22,58,0,4.13,PN,1702244426
28,hithadhoo,-0.6,73.0833,300.8,75,100,2.16,MV,1702244278
29,bamboo flat,11.7,92.7167,299.2,94,20,1.03,IN,1702244427
30,port mathurin,-19.6833,63.4167,299.22,78,52,3.75,MU,1702244286
31,san clemente del tuyu,-36.3569,-56.7235,294.81,78,4,5.49,AR,1702244399
32,tipasa,36.5897,2.4475,290.12,59,7,2.55,DZ,1702244429
33,mugia,43.1041,-9.2179,291.57,85,100,11.22,ES,1702244429
34,vennesla,58.2694,7.9741,273.83,96,100,6.17,NO,1702244430
35,ilulissat,69.2167,-51.1,270.16,80,100,5.66,GL,1702244275
36,ribeira grande,38.5167,-28.7,291.37,72,40,8.94,PT,1702244431
37,port-aux-francais,-49.35,70.2167,276.71,78,56,9.91,TF,1702244431
38,chonchi,-42.6128,-73.8092,290.71,65,99,1.51,CL,1702244431
39,abashiri,44.0213,144.2697,271.3,49,100,8.97,JP,1702244309
40,fale old settlement,-9.3852,-171.2468,301.73,79,100,5.22,TK,1702244432
41,margaret river,-33.95,115.0667,286.36,59,0,5.29,AU,1702244317
42,baley,51.6,116.6333,238.96,99,7,1.34,RU,1702244433
43,odda,60.0691,6.5457,278.02,88,100,4.57,NO,1702244434
44,bredasdorp,-34.5322,20.0403,289.38,78,0,2.57,ZA,1702244434
45,revda,56.801,59.9303,241.4,100,99,1.42,RU,1702244434
46,greymouth,-42.4667,171.2,287.06,62,90,4.04,NZ,1702244435
47,bilibino,68.0546,166.4372,246.98,98,45,1.96,RU,1702244435
48,vostochnyy,55.8167,37.8667,264.25,93,100,4.37,RU,1702244436
49,riohacha,11.5444,-72.9072,306.21,55,0,8.23,CO,1702244297
50,peterhead,57.5058,-1.7981,279.37,86,100,10.1,GB,1702244437
51,codrington,-38.2667,141.9667,289.16,81,100,7.56,AU,1702244437
52,canutama,-6.5339,-64.3831,302.14,66,100,0.9,BR,1702244438
53,longyearbyen,78.2186,15.6401,273.06,69,40,7.2,SJ,1702244438
54,jesup,31.6074,-81.8854,291.12,94,100,1.54,US,1702244438
55,ust-nera,64.5667,143.2,253.84,98,100,3.54,RU,1702244439
56,portland,45.5234,-122.6762,285.71,94,100,4.02,US,1702244180
57,badger,64.8,-147.5333,253.04,74,0,1.54,US,1702244440
58,dolores,-36.3132,-57.6792,293.74,75,1,4.99,AR,1702244440
59,sarmiento,-45.5882,-69.07,294.07,33,100,11.56,AR,1702244440
60,priozersk,61.0393,30.1291,264.88,75,96,3.18,RU,1702244441
61,fort bragg,35.139,-79.006,295.06,84,100,3.09,US,1702244441
62,metlili chaamba,32.2667,3.6333,288.67,33,0,0.0,DZ,1702244441
63,zhigalovo,54.8097,105.1578,237.27,100,35,0.52,RU,1702244442
64,petropavlovsk-kamchatsky,53.0452,158.6483,274.48,95,100,7.0,RU,1702244442
65,santarem,-2.4431,-54.7083,307.22,55,20,1.54,BR,1702244443
